LocId,Latitude,Longitude,Category
a519,23.0636,27.5045,R
b764,5.3101,8.2529,H
c900,13.8516,26.0028,P
d907,1.4726,6.4268,S
e-875,17.9474,22.7359,C
f-476,20.1059,26.3043,R
g904,8.2846,15.4852,H
h283,16.74,13.5212,P
a815,27.4636,11.609,S
b49,9.8171,29.0484,C
c-183,18.0672,2.1031,R
d881,3.5617,26.3734,H
e738,7.3514,24.7086,P
f-165,19.9985,7.8715,S
g514,13.4655,16.8828,C
h883,18.435,20.1267,R
a425,23.6418,28.1236,H
b559,17.5141,3.0522,P
c710,0.9372,11.8421,S
d696,23.1905,10.8796,C
e-536,24.1458,7.8388,R
f840,3.2562,18.3067,H
g-237,19.7704,4.9356,P
h596,25.9768,3.0621,S
a862,26.6804,7.2446,C
b-662,16.3282,14.8562,R
c298,17.1796,15.6503,H
d721,26.5553,24.303,P
e764,3.801,8.5678,S
f-506,29.3425,14.9176,C
g-645,13.5699,23.0016,R
h-629,19.9221,27.7679,H
a668,10.9944,1.4592,P
b-81,27.6964,9.5032,S
c-650,14.4091,15.8261,C
d145,12.6635,22.7063,R
e-181,29.0125,23.541,H
f-676,19.93,20.5873,P
g-982,8.3026,11.1445,S
h742,24.5801,2.4052,C
a-27,18.3428,27.599,R
b874,10.2604,0.3948,H
d528,3.9549,3.5747,S
e-102,19.2439,22.6383,C
f753,29.0083,8.2262,R
h-677,26.8935,15.7255,P
a633,16.7152,0.6853,S
b-372,28.5702,19.6328,C
c-179,14.2877,13.824,R
d117,5.725,13.3638,H
e936,1.5937,16.9519,P
f835,21.2198,4.255,S
g495,8.0533,4.4205,C
h740,10.9064,22.4015,R
a-889,5.0063,27.5675,H
b-278,28.8884,22.2492,P
c-497,5.4304,14.8657,S
d343,24.3754,23.1461,C
e111,28.0585,14.1209,R
f402,27.9004,20.3045,H
g319,28.5519,5.7078,P
h-302,18.4748,0.6226,S
a-52,9.237,14.7331,C
b557,16.7563,8.1944,R
c-196,13.8503,22.8106,H
d-52,29.6101,8.8138,P
e963,26.1195,9.1852,S
f973,5.1227,20.7599,C
g-273,17.0282,24.4461,R
h140,21.7275,23.2767,H
a-531,8.0294,20.6867,P
b946,16.7816,12.2896,S
c957,4.6188,10.7095,C
d-367,2.2683,2.8726,R
e917,9.4578,26.3772,H
f169,0.0414,1.973,P
g-414,10.76,5.0704,S
h-120,16.1457,15.9957,C
a-456,9.9386,8.8207,R
b-546,13.5327,5.7047,H
c269,26.9752,12.7644,P
d-659,4.2916,7.3905,S
e176,6.8223,10.5558,C
g125,11.6822,12.72,H
h-511,17.3145,18.2054,P
a-328,1.7505,20.4067,S
b234,19.4731,21.6873,C
c801,9.3487,25.3887,R
d40,16.7095,17.2539,H
e-450,24.5858,22.237,P
f113,4.3658,16.3103,S
g-260,14.2715,7.1913,C
h-367,28.0896,7.4294,R
a-282,19.5326,28.4596,H
b529,0.2502,27.352,P
c191,16.7164,23.2996,S
e-276,26.09,29.2788,R
f544,6.8717,8.5387,H
g-370,4.319,4.0448,P
h656,1.1903,14.7211,S
a907,16.2089,19.1389,C
b-389,14.9402,0.8409,R
c0,27.0074,26.263,H
d-908,28.3017,18.6283,P
e889,4.3733,14.2033,S
f-170,25.2957,15.1648,C
g140,17.2492,0.2262,R
h-152,17.2414,10.4234,H
a19,2.1887,20.7055,P
b-178,24.0921,23.081,S
c-719,15.2829,21.4495,C
d-20,3.2723,18.0886,R
e17,11.2365,8.669,H
f-406,19.4266,4.0355,P
g607,23.1759,6.6631,S
h563,10.938,1.7014,C
a-550,9.8528,25.6175,R
b-779,15.9866,24.292,H
c341,19.4238,14.6254,P
d265,18.2941,22.5535,S
e846,2.6786,15.7921,C
f27,29.3847,6.8889,R
g-768,19.0638,24.312,H
h-758,4.3296,22.666,P
a-863,1.1774,18.7759,S
b340,21.1132,18.9521,C
c578,3.2216,28.5705,R
d-286,26.1438,4.2238,H
e900,29.2742,16.5965,P
f-414,4.4255,3.4187,S
g-206,19.4833,21.2662,C
h682,19.8642,27.4979,R
a661,16.7671,11.4603,H
b-776,17.4349,9.6699,P
c-335,14.5139,18.5344,S
d102,19.5235,11.7067,C
e-611,25.863,25.2046,R
f320,11.7982,25.7841,H
g603,4.0152,26.6186,P
h998,0.9402,27.4807,S
b-17,18.3226,24.5078,R
c-163,14.9372,26.2857,H
d280,8.9415,2.5948,P
e-327,16.1911,15.6017,S
f-13,11.5492,15.7191,C
g757,14.8472,12.7756,R
h822,8.356,12.475,H
a265,24.0452,15.1149,P
b439,21.8499,20.2088,S
c-984,12.0067,26.421,C
d245,12.6415,20.985,R
e-941,28.8359,19.935,H
f-405,19.3422,14.0018,P
g468,12.5788,20.8562,S
h199,14.4306,19.7364,C
a718,16.6067,10.9983,R
b-722,7.1067,26.0568,H
c365,26.9596,20.7393,P
d234,20.1464,15.7547,S
e-304,23.1662,0.9781,C
f784,10.2029,15.9564,R
g-924,27.6203,4.1953,H
h753,3.4849,16.8497,P
a444,21.6387,20.9281,S
b886,10.4745,28.6575,C
c652,27.9505,19.1529,R
d-831,17.1896,14.836,H
e-462,6.034,16.4061,P
f-534,6.0201,26.1186,S
g129,17.8578,2.3211,C
h-418,6.0288,4.5177,R
a-989,15.0986,25.382,H
b-145,20.4357,9.8467,P
c-694,19.8672,26.3741,S
d379,7.7377,11.7939,C
e918,25.5569,24.2633,R
f-743,15.1784,23.2548,H
g-577,25.2991,3.2214,P
h318,3.2548,9.7338,S
a78,23.6702,13.1879,C
b-510,15.2946,16.5713,R
c-68,14.4788,1.9435,H
d760,8.473,18.744,P
e-959,7.3644,22.5615,S
f-2,20.0023,1.565,C
g-52,15.6597,26.4874,R
h435,8.1134,9.6765,H
a-745,3.1968,0.6352,P
b574,28.5211,8.3862,S
c-92,26.8861,16.0417,C
d-113,20.5668,10.2751,R
e-742,4.3168,19.5557,H
f-161,25.052,11.331,P
g116,21.0558,27.7693,S
h-387,6.956,6.4446,C
a733,12.111,4.8619,R
b87,2.2693,5.4999,H
c-398,25.6349,23.3294,P
d377,14.9128,14.9094,S
e211,11.8041,2.7754,C
f-445,12.0964,21.6766,R
h92,2.9494,9.2948,P
a946,17.7147,10.695,S
b-679,25.8016,27.5955,C
c924,8.7372,9.7603,R
d466,2.2926,22.6113,H
e288,21.789,6.9322,P
f-350,4.7372,23.1279,S
g-154,12.5025,25.893,C
h-991,4.6045,9.0442,R
a967,0.8472,15.6314,H
b-811,6.8217,28.7316,P
d849,12.9788,10.1966,C
e219,29.6853,13.6778,R
f267,8.7994,14.0676,H
g354,17.9376,13.4152,P
h252,13.4771,17.9394,S
a-712,20.4111,19.031,C
b576,15.8869,11.5384,R
c-112,29.7152,0.4708,H
d901,1.4552,6.0021,P
e-458,14.9248,18.0401,S
f-897,4.0021,26.1557,C
g-663,3.5749,1.8985,R
h471,25.662,7.94,H
a-288,28.8251,18.7121,P
b36,15.5882,27.9603,S
c511,28.8849,28.1854,C
d-235,13.4569,21.8868,R
f440,22.8149,23.2771,P
g-470,0.6635,13.8284,S
h-593,13.446,15.1695,C
a-132,27.7139,13.3972,R
b455,0.9059,17.4876,H
c-413,26.1733,24.5116,P
d608,28.9493,22.9417,S
e-226,2.6985,15.0611,C
f-515,12.3343,7.5303,R
g-877,14.212,26.7236,H
h277,26.2553,25.8933,P
a70,20.9649,27.948,S
b616,24.5972,20.4986,C
c-970,25.2392,10.1363,R
d670,22.9459,22.7782,H
e74,12.9554,3.7917,P
f-451,3.504,17.1667,S
g-55,2.8096,20.1488,C
h704,23.2048,6.1446,R
a-190,24.5747,28.5492,H
b632,9.4872,8.9873,P
c434,7.396,7.7522,S
d-912,0.3561,9.0902,C
e857,6.597,10.9086,R
f-443,14.628,29.0835,H
g835,18.8147,11.2687,P
h-517,13.5625,24.1206,S
a185,21.2312,13.1875,C
b806,4.0274,22.6759,R
c-554,21.198,24.9229,H
d-963,25.9905,24.8012,P
e-180,7.6678,11.223,S
f448,19.8445,26.2878,C
g-97,1.5673,18.4001,R
h-378,9.2542,10.5417,H
a14,1.5048,17.3157,P
b648,9.7398,10.0253,S
c-21,12.7602,18.2059,C
e513,26.8447,28.8717,H
f-843,7.098,11.0324,P
g-35,18.4191,13.2809,S
h-113,22.4919,3.8649,C
a477,21.2668,19.2021,R
b-818,10.9901,8.1187,H
c48,25.5433,13.6547,P
d-567,14.1194,5.0883,S
e644,4.449,4.9475,C
f770,4.7721,20.1595,R
g871,25.3851,2.2398,H
h-62,25.0031,24.4996,P
a329,3.3596,4.9308,S
b-994,20.1996,9.5748,C
c378,28.9768,3.213,R
d-978,2.3113,24.5544,H
e893,15.9649,17.7457,P
f-105,13.0063,28.5494,S
g485,3.7992,2.6798,C
h430,12.3112,25.6726,R
a-149,16.1916,16.6904,H
b-815,3.6385,14.56,P
c-262,0.3736,19.52,S
e-506,9.1019,18.5727,R
f-958,19.8779,22.4481,H
g-683,22.8105,13.5464,P
h-574,7.456,8.8724,S
a-360,26.011,28.2786,C
d167,5.9834,20.0482,P
e586,3.2548,15.8662,S
f-572,1.3399,6.8136,C
g96,15.0768,10.756,R
h-727,26.3925,12.6286,H
a315,9.1221,9.5977,P
b309,17.8461,17.7407,S
c600,14.6127,8.7264,C
d-598,0.6833,17.1213,R
e-475,25.679,24.635,H
f-625,20.9098,18.261,P
g-409,17.4321,9.8859,S
h916,29.0842,2.0085,C
a-792,2.7402,1.0251,R
b831,18.7649,13.9574,H
c-388,26.6579,8.1215,P
d-947,18.5128,10.1555,S
e-186,9.5775,13.0219,C
f-815,1.5568,17.3511,R
g470,27.4449,21.6363,H
h437,9.5204,12.8786,P
a510,24.1648,23.2015,S
b-435,22.8886,22.6353,C
c-572,10.2383,12.9482,R
d984,7.7204,9.1196,H
e841,7.8867,26.4267,P
f841,17.5167,8.8945,S
g498,18.8735,4.5278,C
h-48,15.8956,5.3174,R
a-900,3.4572,21.7276,H
b399,2.7511,9.3784,P
c-730,10.9249,6.3016,S
d-838,20.4721,2.1485,C
e143,8.6837,5.1184,R
f70,14.0771,17.3513,H
g29,0.1318,23.4432,P
h-421,17.5867,25.7171,S
a-534,8.258,8.0237,C
b685,26.7568,14.2062,R
c524,28.7744,0.8309,H
d-574,13.0525,20.3364,P
e175,20.1206,26.8138,S
f-344,4.9315,23.2764,C
g-190,0.4803,21.4875,R
h-988,9.0537,2.1115,H
a11,28.7096,7.0569,P
b123,5.6065,9.4584,S
c-714,29.1018,11.687,C
d-115,12.6262,18.0236,R
e420,16.6111,14.318,H
f-842,12.5076,5.664,P
g750,6.5996,4.3232,S
h606,14.0801,23.6943,C
a-705,9.3904,8.119,R
b-622,11.7734,20.7079,H
c620,5.2325,1.0587,P
d938,26.2664,21.7111,S
e572,12.0253,7.7182,C
f952,11.698,22.8584,R
g-334,6.5315,16.3643,H
h-318,2.531,18.4267,P
a-377,8.2896,15.6006,S
b227,14.1453,4.2027,C
c-445,26.0589,24.8257,R
d407,14.7855,2.1201,H
e-149,27.1787,15.571,P
f-43,19.8607,14.8144,S
g732,14.7437,20.937,C
h-814,15.8432,3.9533,R
a588,12.8515,23.1342,H
b-608,23.286,21.3772,P
c-49,12.8859,13.8785,S
d471,14.1708,8.5991,C
e-362,1.1744,6.007,R
f-737,25.0331,25.803,H
g-259,9.9457,9.6226,P
h154,26.4487,25.2799,S
a-277,17.3763,1.6732,C
c520,17.2995,17.8092,H
d439,11.4613,13.0783,P
e-913,6.1347,14.8388,S
f540,12.4927,11.8594,C
g-677,24.3427,21.5756,R
h-853,21.1773,26.8658,H
a-785,24.4808,7.4687,P
b-390,13.436,8.6233,S
c497,14.4501,20.3492,C
d130,16.4507,14.1043,R
e-858,17.1858,6.1678,H
f-991,10.5958,8.6503,P
g97,27.0154,2.8456,S
h-626,24.409,1.6665,C
a-352,13.6706,25.8176,R
b-84,24.1289,23.4866,H
c52,4.2861,16.4568,P
d823,22.1206,23.5174,S
e125,12.4475,26.9696,C
f388,15.9405,6.116,R
g-723,1.5982,4.7283,H
h-21,7.1833,10.867,P
a-747,10.0799,20.2501,S
b-941,25.4164,8.2418,C
d105,23.4546,27.7717,H
e-110,7.9005,27.4268,P
f-128,24.5785,18.8534,S
g-74,8.8261,10.9477,C
h352,0.3295,3.7147,R
a-859,12.9595,22.042,H
b-442,22.2368,28.3936,P
c768,29.3351,18.5977,S
d152,29.4906,29.9968,C
e-80,19.9185,9.0616,R
f355,27.5881,14.988,H
g-803,29.1518,9.8164,P
h-203,23.5733,14.4638,S
a-818,2.1165,3.2846,C
b-877,19.183,19.2818,R
c576,19.1102,5.2617,H
d-976,28.1143,12.9359,P
e-933,17.0875,22.8992,S
f854,6.3198,12.847,C
g-597,11.667,18.549,R
h-711,11.5244,22.3401,H
a754,23.0611,28.8926,P
b-756,16.0573,10.2789,S
c67,4.5975,6.4778,C
d-30,17.8342,21.5224,R
e851,16.1866,24.0133,H
f610,29.6734,25.0018,P
g-337,17.3674,25.9468,S
h-828,7.6883,16.0821,C
a-147,25.542,6.3481,R
b763,1.9355,3.0989,H
c-83,23.8026,4.259,P
d-894,2.4461,26.3439,S
e152,13.8456,13.5706,C
f-770,9.9408,2.8307,R
g-815,29.154,13.0471,H
h395,22.9901,7.2939,P
a-422,4.4015,26.15,S
b-518,11.5956,28.5727,C
c-317,0.5209,29.2748,R
e-746,29.7494,3.6755,P
f719,4.2063,4.4919,S
g-679,7.3505,0.0712,C
h362,23.4447,23.8492,R
a811,19.621,7.0177,H
b949,0.4038,5.2568,P
c981,27.8643,29.9672,S
d282,19.3173,19.3342,C
e-237,10.2837,29.2297,R
f933,3.0276,2.4284,H
g-201,6.8309,13.0012,P
h984,5.881,21.8225,S
a-522,10.8541,14.2758,C
b-616,5.7407,6.3121,R
c-654,23.4169,12.7394,H
d-212,25.9595,9.7994,P
e875,24.6342,28.4689,S
f272,11.2842,20.6666,C
g-558,5.6151,28.165,R
h247,12.2698,8.1146,H
a-748,6.4654,12.4513,P
b-248,9.699,17.7549,S
c-977,24.4469,29.3598,C
d-839,13.7616,4.7357,R
e-29,28.4343,2.6473,H
f-59,23.4147,18.6729,P
g-562,18.8409,9.8012,S
h225,25.8245,12.348,C
a338,9.9086,23.7585,R
b-997,2.918,2.9065,H
c-519,13.6645,20.0317,P
d861,11.9712,8.7409,S
e-507,15.8365,6.9822,C
f55,3.5047,0.5728,R
g-408,14.3284,22.9973,H
h963,12.2437,19.816,P
a54,16.7238,7.4603,S
b17,16.7199,10.9319,C
c-951,25.4464,0.059,R
d150,4.437,7.8072,H
e629,2.2235,4.3429,P
f-272,2.4035,28.6258,S
g351,13.8326,22.1799,C
h257,10.6352,10.3066,R
a-968,9.5049,20.1143,H
b-267,26.4022,4.4415,P
c-204,13.8716,9.5058,S
d-446,10.0728,21.7169,C
e-538,24.0536,26.3013,R
f788,4.615,29.5298,H
g83,15.7289,16.4552,P
h871,15.6273,17.9109,S
a875,21.9376,24.5959,C
b556,9.75,10.1504,R
c-630,19.6798,12.9571,H
d-950,12.0449,12.7764,P
e-523,19.2498,8.1931,S
f147,24.6168,6.0078,C
g127,15.7046,20.3506,R
h-801,7.3963,24.0978,H
a775,27.5408,24.2344,P
b-871,7.592,0.8759,S
c-247,19.1631,8.3494,C
d142,4.1615,15.1899,R
e-617,16.2638,14.1079,H
f-786,25.6317,2.6794,P
g-196,5.1366,7.7196,S
h231,14.7057,5.7008,C
a845,13.1335,22.3547,R
b643,5.8451,16.5303,H
c-370,12.5142,20.6424,P
d-432,6.9634,24.7735,S
e213,3.9029,2.3708,C
f157,1.7768,8.7588,R
g-833,9.8406,13.8531,H
h713,4.4036,7.0131,P
a-182,19.5218,25.6292,S
b-250,29.4101,10.1564,C
c-129,9.0997,23.8671,R
d815,2.8112,22.3569,H
e185,27.446,19.9991,P
f718,10.9718,16.7353,S
g35,15.3018,18.6801,C
h-908,27.1646,23.8543,R
a284,17.5783,12.8407,H
b-132,2.801,21.4182,P
c401,27.4903,4.7175,S
d266,21.4517,4.9888,C
f-45,6.5251,7.075,H
g-740,1.7252,16.5578,P
h175,22.941,22.3792,S
a361,6.0082,10.1629,C
b-619,29.3037,20.7835,R
c-13,12.5594,26.0137,H
d599,0.915,20.2268,P
e788,1.0085,11.646,S
f335,2.528,3.1527,C
g985,27.247,4.7204,R
h-489,11.7443,0.7762,H
a840,14.834,12.7913,P
b-615,5.8831,18.3898,S
c294,0.2534,15.8493,C
d430,19.2225,13.6819,R
e330,5.2499,6.598,H
g-729,6.113,14.0628,S
h335,17.1019,26.7148,C
a697,10.4175,24.7359,R
b-192,21.7882,13.2052,H
c-184,18.2488,29.1402,P
d856,26.6054,14.4418,S
e-713,17.498,14.4685,C
f-229,16.6695,16.1037,R
g-926,3.9528,6.42,H
h445,22.6657,2.9619,P
a-388,16.5859,25.0629,S
b-501,22.5478,18.6342,C
c-323,10.5185,8.2173,R
d-271,29.9515,11.9185,H
e-303,21.8686,28.8103,P
f-826,17.6369,25.824,S
g-631,6.2023,1.3624,C
h547,11.4376,10.6617,R
a-980,11.0508,21.8585,H
b544,24.2795,12.2686,P
c-797,22.8098,24.7798,S
d944,29.9421,18.8794,C
e-447,15.3803,16.9959,R
f258,15.3272,10.7809,H
g666,27.6407,4.3524,P
h-139,13.9459,29.6394,S
a851,10.716,29.3039,C
b242,11.9049,26.0845,R
c633,2.6816,20.3782,H
d-953,4.6918,15.1074,P
e990,17.3637,22.3193,S
f787,4.2611,20.8408,C
g943,22.3289,9.2041,R
h307,9.2687,26.0056,H
a602,29.9995,18.8778,P
b734,23.0402,12.7904,S
c423,9.284,21.9879,C
d-23,22.8258,15.6477,R
e215,18.9112,11.2883,H
g427,21.1342,1.7873,S
h-628,12.0816,29.861,C
a903,23.9457,23.9507,R
b-336,10.7909,6.1523,H
c311,10.5542,26.5126,P
d572,9.9009,13.2113,S
e947,3.3269,24.644,C
f15,4.7996,26.2059,R
g-183,12.4588,23.5892,H
h-533,29.3212,28.2656,P
a-569,17.4024,0.5761,S
b-153,5.4108,3.5597,C
c585,5.65,15.4077,R
d-933,21.1788,12.8386,H
e-830,12.8614,13.8864,P
f-838,2.5507,2.8239,S
g466,14.8879,6.4065,C
h118,14.7018,17.9765,R
a-593,28.0364,21.5658,H
b-167,3.0417,26.5995,P
c153,16.5564,21.5256,S
d278,15.3502,25.721,C
e-543,9.1352,24.8779,R
f-70,25.1833,13.1642,H
g591,11.9041,18.691,P
h-225,28.6884,1.0373,S
a974,9.2761,29.3345,C
b-495,0.0544,0.9447,R
c460,29.9641,25.1731,H
d542,10.2309,9.7717,P
e663,9.842,7.6089,S
f582,9.3261,7.5104,C
g584,28.1458,2.6862,R
h-286,22.8882,10.6472,H
a629,7.9733,5.2545,P
b-685,4.1493,2.6916,S
c929,25.471,1.5711,C
d730,26.7574,28.7419,R
e-583,8.099,4.6501,H
f312,4.6782,6.0839,P
g-295,26.1193,21.0151,S
h-470,14.9808,29.8076,C
a-284,14.0893,23.7235,R
b-453,17.3366,12.3062,H
c-28,23.5519,24.4733,P
d939,6.6183,25.7924,S
e906,28.9486,22.0124,C
f199,6.8923,15.6137,R
g-602,21.3876,28.0671,H
h-509,8.9374,24.2939,P
a-882,17.8437,13.6119,S
b457,18.655,17.5743,C
c-84,12.7806,1.9421,R
d472,2.0977,4.9353,H
e-987,6.0896,13.8944,P
f911,29.8566,3.3054,S
g821,22.8366,0.5276,C
h558,19.4901,17.8436,R
a-848,17.991,20.5344,H
b156,18.0719,7.2459,P
c305,23.1488,23.0753,S
e803,3.3664,6.5434,R
f-749,2.0966,11.1929,H
g-49,11.6863,16.4485,P
h-142,4.4443,8.9536,S
a485,14.9179,20.0829,C
b679,15.1796,12.8223,R
c-151,11.9884,1.2155,H
d-566,23.1701,6.1377,P
e626,19.1968,28.1613,S
f-6,25.6549,15.5419,C
g-835,24.7015,25.9003,R
h325,22.7278,15.7956,H
a979,2.089,15.4644,P
b-808,12.2047,12.2073,S
c-863,11.977,19.393,C
d-78,26.8111,13.8099,R
e-497,26.0459,16.4162,H
f537,27.0538,12.0404,P
g310,9.4329,8.3977,S
h427,24.8342,24.1565,C
a-129,5.8606,28.8824,R
b-673,0.0793,26.2428,H
c443,6.3296,8.4933,P
d350,19.9625,8.45,S
e223,21.238,23.1042,C
f-895,29.1672,5.9171,R
g-522,26.7763,28.0515,H
h251,28.8655,14.2104,P
a307,20.2084,5,S
b773,8.9978,16.2843,C
c996,29.5529,13.311,R
d225,5.8509,0.8958,H
e793,5.3997,13.7071,P
f-792,19.3622,6.0882,S
g844,0.5078,14.537,C
h-126,27.6816,9.5074,R
a-419,24.4214,19.9427,H
b593,24.5963,2.866,P
c546,12.1291,9.2684,S
d435,24.9075,11.0694,C
e865,11.1682,7.7249,R
f441,22.7716,26.8783,H
g-708,4.0006,17.9952,P
h308,29.9107,12.9555,S
a-726,5.6365,22.0606,C
b807,29.8116,25.7603,R
c-663,17.9991,15.5645,H
d603,21.9737,15.622,P
e531,29.9059,6.679,S
f-751,14.6516,23.4309,C
g-535,1.8738,29.1778,R
h-231,12.1731,14.8037,H
a-977,28.3711,3.7832,P
b199,4.8473,19.4885,S
c-58,5.1095,17.2183,C
d-635,8.9579,21.4495,R
e520,5.7941,9.5351,H
f580,7.252,21.2382,P
g-686,3.8124,28.4156,S
h-874,16.0214,21.918,C
a228,9.0182,8.8542,R
b-621,10.9819,25.2771,H
c409,6.7929,28.9976,P
d191,0.023,2.0942,S
e-610,29.3806,3.2849,C
f-706,19.1992,24.3452,R
g-242,29.5274,15.842,H
h220,14.7273,14.8621,P
a948,9.8233,16.31,S
b-306,7.1868,10.7981,C
c729,15.5133,21.4807,R
d253,12.4349,22.7689,H
e821,25.8372,21.0361,P
f-252,6.625,11.0363,S
g-968,17.2379,26.3477,C
h232,22.17,5.7119,R
a635,25.0058,14.5243,H
b971,12.6579,10.5288,P
c838,16.8891,18.0135,S
d-129,25.2231,29.3547,C
e-612,0.5907,10.4312,R
f-940,0.9275,27.175,H
g-181,14.976,26.5876,P
h-429,11.1183,28.719,S
a-600,13.5453,10.3333,C
b573,28.1755,29.2999,R
c284,23.5893,25.8927,H
d-505,11.0851,12.3301,P
e269,26.8793,24.2686,S
f-346,15.2106,0.0802,C
g-36,8.9385,20.6256,R
h945,23.2234,19.8843,H
a-206,17.13,14.7763,P
b-766,9.2876,26.1305,S
c923,6.0746,11.3894,C
d-579,20.2894,15.197,R
e-533,5.6694,28.6358,H
f616,12.5255,20.5389,P
g145,29.0711,6.8195,S
h101,18.263,18.9001,C
a870,24.4257,24.9871,R
b489,13.8326,28.8158,H
c618,9.2255,6.4162,P
d-399,20.3066,18.456,S
e28,14.6455,7.3463,C
f818,25.3774,0.6552,R
g240,14.3265,10.9348,H
h-254,20.2654,8.2368,P
a699,8.6075,14.4293,S
b360,13.3745,2.8391,C
c-136,12.4292,11.984,R
d-480,23.8586,7.9042,H
e-779,7.8884,14.3957,P
f-474,16.0668,4.9212,S
g760,15.0014,19.5719,C
h265,3.0546,16.1098,R
a-7,2.6534,15.6128,H
b-584,13.6686,29.6098,P
c93,27.9707,6.3329,S
d53,25.8461,2.3086,C
e-667,15.2341,18.5481,R
f918,23.6003,17.5929,H
g601,17.3785,19.7716,P
h489,0.4023,23.8149,S
a-10,21.5393,13.4332,C
b869,11.1659,5.419,R
c-539,28.6998,29.2018,H
d-624,11.0512,20.92,P
e-559,8.941,8.8674,S
f802,0.4718,21.3014,C
g552,21.4606,28.2924,R
h-538,27.8474,9.9816,H
a-146,13.1722,7.3792,P
b-517,11.5238,5.2372,S
c-315,5.4522,0.2382,C
d182,12.5938,22.4434,R
e311,27.0987,2.4457,H
f-648,17.3498,27.3462,P
g424,21.1149,26.2301,S
h450,2.9054,23.9348,C
a-254,0.5239,15.4527,R
b-955,2.3811,23.9373,H
c70,5.1547,3.3559,P
d236,11.9295,16.6846,S
e-71,15.2171,1.0313,C
f-696,25.7624,16.2432,R
g-893,25.6131,27.9125,H
h-11,7.2759,20.9653,P
a-461,24.9799,23.5308,S
b385,5.9817,16.6672,C
c616,12.4523,6.7597,R
d204,23.3255,17.0415,H
e-929,5.6375,13.805,P
f-642,29.5929,6.4392,S
g-452,29.6516,5.0887,C
h296,3.3975,7.2774,R
a-79,7.0443,9.1141,H
b99,17.638,14.0884,P
c-844,8.6159,27.9892,S
d733,7.8222,7.575,C
e-96,25.9771,17.1404,R
f963,1.1874,5.9255,H
g826,7.0666,7.3389,P
h-742,12.542,25.7825,S
a358,10.3437,14.4282,C
b93,8.6884,20.1899,R
c866,15.0329,14.8321,H
d675,7.8524,10.7573,P
e-772,4.1754,20.4704,S
f901,5.2096,7.6022,C
g93,13.5497,13.2985,R
h-415,19.5435,24.924,H
a774,11.7294,6.3869,P
b-134,29.7205,15.0145,S
c995,7.1652,9.0687,C
d-168,14.3827,1.0212,R
e614,0.4973,5.8226,H
f-569,12.2405,23.2144,P
g-256,1.5508,23.5769,S
h17,1.4077,7.7501,C
a117,3.0106,10.0272,R
b998,10.3089,11.5161,H
c-624,24.0154,9.9858,P
d-662,8.0012,11.8176,S
e-600,10.5079,19.6346,C
f294,11.6813,16.2646,R
g479,18.6849,25.7687,H
h757,14.2264,3.0145,P
a683,21.3469,18.9134,S
b-802,0.9819,4.5456,C
c-318,3.1682,22.1957,R
d779,1.8943,15.1139,H
e-634,23.2911,29.0585,P
f471,16.7913,4.56,S
g-931,16.9086,3.333,C
h663,23.5164,27.4309,R
a-145,15.7562,24.0499,H
b-370,13.8555,25.1702,P
c964,27.7416,12.862,S
d817,1.7577,3.1059,C
e512,27.5673,4.3756,R
f-18,4.5076,11.6801,H
